,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
232,140.625,-37,61570,514,107,2.249999999,0.3125,Cell 57,SA1
233,140,-36.5,62145,513,108,2.250000001,0.3125,Cell 72,SA1
234,140.625,-36.5,62146,514,108,2.249999999,0.3125,Cell 73,SA1
235,140,-36,62721,513,109,2.250000001,0.3125,Cell 91,SA1
236,140.625,-36,62722,514,109,2.249999999,0.3125,Cell 92,SA1
237,138.75,-35.5,63295,511,110,2.250000001,0.3125,Cell 108,SA1
238,139.375,-35.5,63296,512,110,2.250000001,0.3125,Cell 109,SA1
239,140,-35.5,63297,513,110,2.250000003,0.312500001,Cell 110,SA1
240,137.5,-35,63869,509,111,2.249999999,0.3125,Cell 129,SA1
241,138.75,-35,63871,511,111,2.249999999,0.3125,Cell 130,SA1
242,139.375,-35,63872,512,111,2.249999999,0.3125,Cell 131,SA1
243,135.625,-34.5,64442,506,112,2.249999999,0.3125,Cell 155,SA1
244,137.5,-34.5,64445,509,112,2.249999999,0.3125,Cell 156,SA1
245,138.75,-34.5,64447,511,112,2.249999999,0.3125,Cell 157,SA1
246,139.375,-34.5,64448,512,112,2.249999999,0.3125,Cell 158,SA1
247,140.625,-34.5,64450,514,112,2.249999999,0.3125,Cell 160,SA1
248,136.25,-34,65019,507,113,2.249999999,0.3125,Cell 186,SA1
249,138.125,-34,65022,510,113,2.250000001,0.3125,Cell 187,SA1
250,138.75,-34,65023,511,113,2.249999999,0.3125,Cell 188,SA1
251,139.375,-34,65024,512,113,2.249999999,0.3125,Cell 189,SA1
252,140,-34,65025,513,113,2.250000001,0.3125,Cell 190,SA1
253,140.625,-34,65026,514,113,2.249999999,0.3125,Cell 191,SA1
254,135.625,-33.5,65594,506,114,2.249999999,0.3125,Cell 223,SA1
255,136.25,-33.5,65595,507,114,2.249999999,0.3125,Cell 224,SA1
256,136.875,-33.5,65596,508,114,2.250000001,0.3125,Cell 225,SA1
257,138.125,-33.5,65598,510,114,2.250000001,0.3125,Cell 226,SA1
258,138.75,-33.5,65599,511,114,2.249999999,0.3125,Cell 227,SA1
259,135.625,-33,66170,506,115,2.249999999,0.3125,Cell 263,SA1
260,136.875,-33,66172,508,115,2.250000001,0.3125,Cell 265,SA1
261,137.5,-33,66173,509,115,2.249999999,0.3125,Cell 266,SA1
262,138.125,-33,66174,510,115,2.250000001,0.3125,Cell 267,SA1
263,138.75,-33,66175,511,115,2.249999999,0.3125,Cell 268,SA1
264,137.5,-32.5,66749,509,116,2.249999999,0.3125,Cell 309,SA1
265,138.125,-32.5,66750,510,116,2.250000001,0.3125,Cell 310,SA1
266,137.5,-32,67325,509,117,2.249999999,0.3125,Cell 360,SA1
267,138.125,-32,67326,510,117,2.250000001,0.3125,Cell 361,SA1
268,136.875,-31.5,67900,508,118,2.250000001,0.3125,Cell 418,SA1
269,137.5,-31.5,67901,509,118,2.249999999,0.3125,Cell 419,SA1
270,138.125,-31.5,67902,510,118,2.250000001,0.3125,Cell 420,SA1
271,136.875,-31,68476,508,119,2.250000003,0.312500001,Cell 478,SA1
272,138.125,-31,68478,510,119,2.250000003,0.312500001,Cell 480,SA1
273,136.25,-30.5,69051,507,120,2.249999999,0.3125,Cell 537,SA1
274,136.875,-30.5,69052,508,120,2.250000001,0.3125,Cell 538,SA1
275,138.125,-30.5,69054,510,120,2.250000001,0.3125,Cell 540,SA1
276,135.625,-30,69626,506,121,2.249999999,0.3125,Cell 597,SA1
277,136.25,-30,69627,507,121,2.249999999,0.3125,Cell 598,SA1
278,135.625,-29.5,70202,506,122,2.249999999,0.3125,Cell 659,SA1
279,146.25,-43,54667,523,95,2.250000001,0.3125,Cell 2,TAS1
280,146.875,-43,54668,524,95,2.249999999,0.3125,Cell 3,TAS1
281,147.5,-43,54669,525,95,2.249999999,0.3125,Cell 4,TAS1
282,146.25,-42.5,55243,523,96,2.250000001,0.3125,Cell 6,TAS1
283,146.875,-42.5,55244,524,96,2.249999999,0.3125,Cell 7,TAS1
284,147.5,-42.5,55245,525,96,2.249999999,0.3125,Cell 8,TAS1
285,145.625,-42,55818,522,97,2.249999999,0.3125,Cell 9,TAS1
286,146.25,-42,55819,523,97,2.250000001,0.3125,Cell 10,TAS1
287,146.875,-42,55820,524,97,2.249999999,0.3125,Cell 11,TAS1
288,147.5,-42,55821,525,97,2.249999999,0.3125,Cell 12,TAS1
289,145,-41.5,56393,521,98,2.250000001,0.3125,Cell 14,TAS1
290,145.625,-41.5,56394,522,98,2.249999999,0.3125,Cell 15,TAS1
291,146.25,-41.5,56395,523,98,2.250000001,0.3125,Cell 16,TAS1
292,146.875,-41.5,56396,524,98,2.249999999,0.3125,Cell 17,TAS1
293,147.5,-41.5,56397,525,98,2.249999999,0.3125,Cell 18,TAS1
294,148.125,-41.5,56398,526,98,2.250000001,0.3125,Cell 19,TAS1
295,145,-41,56969,521,99,2.250000001,0.3125,Cell 20,TAS1
296,145.625,-41,56970,522,99,2.249999999,0.3125,Cell 21,TAS1
297,147.5,-41,56973,525,99,2.249999999,0.3125,Cell 22,TAS1
298,148.125,-41,56974,526,99,2.250000001,0.3125,Cell 23,TAS1
299,143.125,-38.5,59846,518,104,2.250000001,0.3125,Cell 25,VIC1
300,143.75,-38.5,59847,519,104,2.249999999,0.3125,Cell 26,VIC1
301,146.25,-38.5,59851,523,104,2.250000001,0.3125,Cell 28,VIC1
302,146.875,-38.5,59852,524,104,2.249999999,0.3125,Cell 29,VIC1
303,141.875,-38,60420,516,105,2.250000001,0.3125,Cell 32,VIC1
304,142.5,-38,60421,517,105,2.249999999,0.3125,Cell 33,VIC1
305,143.125,-38,60422,518,105,2.250000001,0.3125,Cell 34,VIC1
