Unnamed: 0,country,source,state,timezone,lat,lon,elevation,Temperature Units,Azimuth Units,Cloud Opacity Units,Dew Point Units,DHI Units,DNI Units,EBH Units,GHI Units,Snow Depth Units,Pressure Units,Wind Direction Units,Wind Speed Units,Zenith Units
0,Australia,MERRA-2,Point 5,9,-28.0,150.625,0,deg C,degree,%,deg C,W/m2,W/m2,W/m2,W/m2,cm,mbar,degree,m/s,degree
1,Year,Month,Day,Hour,Minute,Temperature,Azimuth,Cloud Opacity,Dew Point,DHI,DNI,EBH,GHI,Snow Depth,Pressure,Wind Direction,Wind Speed,Zenith,,
66,2023,1,3,16,0,22.8,100,97.8,13.9,100.91,616.5,0,408.320964575729,0,996.3,285.1,7.28,60.09,,
67,2023,1,3,17,0,21.6,109,85.7,14.2,68.62,584.27,0,240.22399761379228,0,996.5,183.8,6.83,72.92,,
68,2023,1,3,18,0,20.6,118,57.3,14.3,26.49,199.29,0,42.888855800640464,0,997.1,141.3,5.97,85.28,,
69,2023,1,3,19,0,19.7,128,69.2,14.1,0.0,0.0,0,0.0,0,998.1,211,5.48,90.0,,
70,2023,1,3,20,0,18.8,140,83,13.8,0.0,0.0,0,0.0,0,999,348.6,5.42,90.0,,
71,2023,1,3,21,0,18.1,153,82.6,13.5,0.0,0.0,0,0.0,0,999.5,354.5,5.49,90.0,,
72,2023,1,3,22,0,17.6,167,62.2,13,0.0,0.0,0,0.0,0,999.7,320.3,5.67,90.0,,
73,2023,1,3,23,0,17,-178,50.8,12.6,0.0,0.0,0,0.0,0,999.8,249.3,6.27,90.0,,
74,2023,1,4,0,0,16.4,-163,51,12.5,0.0,0.0,0,0.0,0,1000.1,252.8,7.19,90.0,,
75,2023,1,4,1,0,15.7,-149,56.5,12.6,0.0,0.0,0,0.0,0,1000.6,249.4,7.97,90.0,,
76,2023,1,4,2,0,15.1,-137,53.6,12.8,0.0,0.0,0,0.0,0,1001.2,244.2,8.38,90.0,,
77,2023,1,4,3,0,14.7,-126,50.9,12.6,0.0,0.0,0,0.0,0,1002.1,249.5,8.56,90.0,,
78,2023,1,4,4,0,14.5,-116,62.8,12.2,0.0,0.0,3,0.0,0,1003.4,243.4,8.61,90.0,,
79,2023,1,4,5,0,14.3,-107,25,11.8,19.69,236.2,175,35.672952253902935,0,1004.7,231.4,8.17,86.12,,
80,2023,1,4,6,0,14.9,-98,1.9,11.1,49.55,660.11,372,231.94392198500628,0,1005.5,226.1,7.58,73.96,,
81,2023,1,4,7,0,16.1,-88,1,10.3,64.15,831.52,584,465.2464226312334,0,1006.1,220.8,7.62,61.16,,
82,2023,1,4,8,0,17.4,-76,0,9.5,96.43,868.12,775,676.188798055525,0,1006.6,217,6.2,48.1,,
83,2023,1,4,9,0,17.9,-60,0,8.9,115.71,902.78,907,856.0365491548961,0,1007.1,217.4,4.93,34.91,,
84,2023,1,4,10,0,17.9,-34,0,8.4,195.26,788.24,987,927.1807475299139,0,1007.5,215.4,4.28,21.79,,
85,2023,1,4,11,0,17.9,5,0,8,321.3,604.8,1008,917.6304032202413,0,1008,220.6,3.99,9.6,,
86,2023,1,4,12,0,18,41,0,7.6,442.48,369.67,971,807.8769943033749,0,1008.2,227.1,4.12,8.72,,
87,2023,1,4,13,0,18.1,65,0,7.4,529.46,126.04,880,647.4021996742263,0,1008.4,224.6,4.47,20.65,,
88,2023,1,4,14,0,18.2,80,0,7.1,382.48,139.78,741,498.7028224076498,0,1008.5,221.5,4.55,33.75,,
89,2023,1,4,15,0,18,90,0,7.2,165.42,0.0,565,165.42,0,1008.7,214.6,4.21,46.95,,
90,2023,1,4,16,0,17.4,100,0,7.6,77.06,93.68,368,123.85751440010479,0,1009,196.1,3.62,60.03,,
91,2023,1,4,17,0,16.9,109,0,8,29.51,25.73,175,37.08853316185985,0,1009.3,197.7,3.05,72.87,,
92,2023,1,4,18,0,15.8,118,0,8.4,13.23,0.0,39,13.23,0,1009.7,214.8,3.02,85.23,,
93,2023,1,4,19,0,14.5,128,0,8.8,0.0,0.0,0,0.0,0,1010.2,224.5,3.31,90.0,,
94,2023,1,4,20,0,13,140,0,9.2,0.0,0.0,0,0.0,0,1010.7,212.2,3.88,90.0,,
95,2023,1,4,21,0,12.5,152,1,9.5,0.0,0.0,0,0.0,0,1010.9,198.5,4.49,90.0,,
96,2023,1,4,22,0,12.7,167,51.6,9.6,0.0,0.0,0,0.0,0,1010.8,192.4,3.34,90.0,,
97,2023,1,4,23,0,12.9,-178,61.9,9.8,0.0,0.0,0,0.0,0,1010.7,171.6,2.61,90.0,,
98,2023,1,5,0,0,12.9,-163,51.9,9.9,0.0,0.0,0,0.0,0,1010.6,154.6,2.25,90.0,,
99,2023,1,5,1,0,12.7,-149,52,10,0.0,0.0,0,0.0,0,1010.6,119.3,2.55,90.0,,
100,2023,1,5,2,0,12.5,-137,52,10.2,0.0,0.0,0,0.0,0,1010.6,101.6,0.68,90.0,,
101,2023,1,5,3,0,12.6,-126,51.6,10.3,0.0,0.0,0,0.0,0,1010.8,96,2.74,90.0,,
102,2023,1,5,4,0,13,-116,53.8,10.5,0.0,0.0,0,0.0,0,1011.2,90.5,4.69,90.0,,
103,2023,1,5,5,0,13.4,-107,59.7,10.7,20.19,0.0,0,20.19,0,1011.6,87.6,4.61,86.23,,
104,2023,1,5,6,0,14.4,-98,71.9,10.8,64.84,0.0,2,64.84,0,1011.9,90.1,4.69,74.1,,
105,2023,1,5,7,0,15.8,-88,44.8,10.8,144.93,0.0,92,144.93,0,1012.2,106.3,4.99,61.29,,
106,2023,1,5,8,0,17.3,-76,25.4,10.9,209.65,0.0,184,209.65,0,1012.5,66.9,4.92,48.23,,
107,2023,1,5,9,0,18.1,-60,35.2,10.9,280.55,56.44,75,326.76032973877597,0,1012.4,336.7,5.26,35.04,,
108,2023,1,5,10,0,18.4,-34,57.6,10.8,374.7,26.42,0,399.20999252203524,0,1012.2,10.6,6.27,21.92,,
109,2023,1,5,11,0,18.7,5,55.7,10.8,395.67,73.12,0,467.73601915326105,0,1011.9,29.1,7.37,9.74,,
110,2023,1,5,12,0,18.9,41,57.7,10.8,538.97,59.35,0,597.6355444489423,0,1011.8,34.9,8.16,8.71,,
111,2023,1,5,13,0,19.1,64,56.7,10.9,431.36,1.31,2,432.58631841755823,0,1011.6,34.5,8.4,20.59,,
112,2023,1,5,14,0,19.2,79,35.5,11,353.51,16.85,101,367.5316895653071,0,1011.5,41.4,7.99,33.68,,
113,2023,1,5,15,0,19,90,13.3,11.2,289.12,24.1,279,305.5930394230178,0,1011.5,37.9,7.16,46.88,,
114,2023,1,5,16,0,18.4,100,2.4,11.4,186.24,0.24,294,186.3601450746941,0,1011.7,34.5,6.07,59.96,,
115,2023,1,5,17,0,17.9,109,0,11.7,101.85,13.22,153,105.75705622414614,0,1011.9,30.5,4.88,72.81,,
116,2023,1,5,18,0,16.9,118,0,11.8,20.04,0.0,32,20.04,0,1012.3,24.9,4.69,85.2,,
117,2023,1,5,19,0,15.6,128,0,11.7,0.0,0.0,0,0.0,0,1012.7,344.4,4.81,90.0,,
118,2023,1,5,20,0,14.2,139,0,11.7,0.0,0.0,0,0.0,0,1013.2,349.7,4.33,90.0,,
119,2023,1,5,21,0,13.5,152,0,11.6,0.0,0.0,0,0.0,0,1013.3,33,3.47,90.0,,
120,2023,1,5,22,0,13.2,167,0,11.6,0.0,0.0,0,0.0,0,1013.2,54.6,2.54,90.0,,
121,2023,1,5,23,0,13,-178,0,11.5,0.0,0.0,0,0.0,0,1013,71.9,1.17,90.0,,
122,2023,1,6,0,0,12.8,-163,0,11.5,0.0,0.0,0,0.0,0,1012.9,75.9,3.0,90.0,,
123,2023,1,6,1,0,12.6,-149,0,11.4,0.0,0.0,0,0.0,0,1012.7,66.8,6.36,90.0,,
124,2023,1,6,2,0,12.5,-137,0,11.3,0.0,0.0,0,0.0,0,1012.5,65.2,9.0,90.0,,
125,2023,1,6,3,0,12.9,-126,0.1,11.7,0.0,0.0,1,0.0,0,1012.6,96,10.09,90.0,,
126,2023,1,6,4,0,13.8,-116,3.7,12.4,0.0,0.0,37,0.0,0,1012.9,95,9.83,90.0,,
127,2023,1,6,5,0,14.8,-107,2,13.1,17.63,251.91,176,33.710830040561476,0,1013.2,88.6,8.94,86.34,,
128,2023,1,6,6,0,16.2,-98,0.2,13.4,45.19,709.25,361,237.8282760396012,0,1013.5,99.3,8.84,74.24,,
129,2023,1,6,7,0,17.9,-88,8.2,13.4,74.15,832.07,379,472.0725680808622,0,1013.7,80.3,8.2,61.43,,
130,2023,1,6,8,0,19.6,-76,29.4,13.4,65.65,969.15,138,709.5998881012744,0,1014,72.8,6.03,48.36,,
131,2023,1,6,9,0,20.5,-60,14,13.1,63.49,1014.85,570,893.0756876564683,0,1013.9,70.1,3.89,35.17,,
132,2023,1,6,10,0,20.6,-34,0,12.6,72.71,1029.05,920,1026.4917797434662,0,1013.6,63.2,2.18,22.05,,
133,2023,1,6,11,0,20.7,5,0,12.1,193.81,865.43,943,1046.405050609062,0,1013.4,57.4,1.4,9.88,,
134,2023,1,6,12,0,20.7,41,0,11.9,297.13,713.14,910,1002.0456928107616,0,1013,57.8,1.36,8.71,,
135,2023,1,6,13,0,20.8,64,0,12.1,192.85,745.79,821,891.2739021315273,0,1012.7,55.5,1.27,20.53,,
136,2023,1,6,14,0,20.8,79,0,12.3,263.39,600.76,684,763.6596852217984,0,1012.3,55.1,1.51,33.62,,
137,2023,1,6,15,0,20.4,90,0,12.7,187.5,566.14,513,574.9774632068152,0,1012.1,59.5,1.95,46.81,,
138,2023,1,6,16,0,19.8,100,0,13.1,75.62,790.65,325,472.02007219562273,0,1012.2,68.3,2.49,59.91,,
139,2023,1,6,17,0,19,109,0,13.5,86.18,430.84,147,213.870156761129,0,1012.2,78.5,3.21,72.76,,
140,2023,1,6,18,0,18.2,118,0,13.8,26.11,191.3,31,42.25065172433003,0,1012.2,86.2,4.81,85.16,,
141,2023,1,6,19,0,17.3,128,0,13.9,0.0,0.0,0,0.0,0,1012.3,90,6.67,90.0,,
142,2023,1,6,20,0,16.5,139,0,14,0.0,0.0,0,0.0,0,1012.4,89.6,8.65,90.0,,
143,2023,1,6,21,0,16,152,0,13.8,0.0,0.0,0,0.0,0,1012.1,90.1,11.24,90.0,,
144,2023,1,6,22,0,15.9,166,0,13.4,0.0,0.0,0,0.0,0,1011.5,90.1,14.04,90.0,,
145,2023,1,6,23,0,15.9,-178,0,13,0.0,0.0,0,0.0,0,1010.9,88.9,13.02,90.0,,
146,2023,1,7,0,0,15.9,-163,0,12.9,0.0,0.0,0,0.0,0,1010.4,86.8,11.24,90.0,,
147,2023,1,7,1,0,15.9,-149,0,13,0.0,0.0,0,0.0,0,1009.9,88.3,10.31,90.0,,
148,2023,1,7,2,0,15.9,-137,0,13,0.0,0.0,0,0.0,0,1009.5,92.3,9.76,90.0,,
149,2023,1,7,3,0,16.2,-126,0.6,13.4,0.0,0.0,0,0.0,0,1009.3,90.4,8.87,90.0,,
150,2023,1,7,4,0,16.5,-116,32.9,13.9,0.0,0.0,0,0.0,0,1009.3,92.2,8.07,90.0,,
151,2023,1,7,5,0,16.9,-107,53.5,14.4,21.48,147.56,0,30.59114445771619,0,1009.4,94.1,7.99,86.46,,
152,2023,1,7,6,0,17.8,-98,73.6,14.7,59.68,591.18,0,218.8587688107957,0,1009,92.3,8.56,74.38,,
153,2023,1,7,7,0,19.2,-88,79.8,15,86.15,771.51,0,453.5725365118517,0,1008.4,85.2,7.98,61.56,,
154,2023,1,7,8,0,20.6,-76,72.1,15.2,129.1,765.02,0,636.1175830151356,0,1007.8,88.5,6.13,48.49,,
155,2023,1,7,9,0,21.5,-60,57.4,15.3,132.02,898.56,11,865.3685929424288,0,1007,88.4,3.94,35.3,,
156,2023,1,7,10,0,22,-34,18.3,15.4,96.96,995.34,580,1018.6472484397466,0,1006.1,85.6,2.04,22.18,,
157,2023,1,7,11,0,22.3,4,0,15.6,204.42,827.26,898,1019.0618680496467,0,1005.2,81.4,1.26,10.02,,
158,2023,1,7,12,0,22.6,40,0,15.8,344.31,617.18,860,954.3723542206942,0,1004.4,75.8,2.25,8.71,,
159,2023,1,7,13,0,22.7,64,0,16,247.6,746.51,769,946.9719463020849,0,1003.8,80.3,3.18,20.47,,
160,2023,1,7,14,0,22.8,79,0.9,16.3,392.35,234.08,618,587.4331729096127,0,1003.2,80.8,3.91,33.55,,
161,2023,1,7,15,0,22.5,90,0.5,16.5,317.61,224.07,466,471.1389526424273,0,1002.7,80.2,4.67,46.75,,
162,2023,1,7,16,0,21.9,99,2.8,16.8,163.67,322.41,275,325.6054305407547,0,1002.3,81.9,5.08,59.85,,
163,2023,1,7,17,0,21.2,108,7.7,17,103.33,247.91,98,176.9695784887627,0,1001.9,85,5.05,72.72,,
164,2023,1,7,18,0,20.4,118,3.5,17.1,32.34,50.46,15,36.61503791528904,0,1001.7,84.7,5.09,85.14,,
165,2023,1,7,19,0,19.7,128,0,17.1,0.0,0.0,0,0.0,0,1001.6,81.4,5.79,90.0,,
166,2023,1,7,20,0,18.9,139,0,17,0.0,0.0,0,0.0,0,1001.6,85.3,6.43,90.0,,
167,2023,1,7,21,0,18.6,152,0,16.9,0.0,0.0,0,0.0,0,1001.2,86.6,6.62,90.0,,
168,2023,1,7,22,0,18.6,166,0,16.6,0.0,0.0,0,0.0,0,1000.4,93,5.81,90.0,,
169,2023,1,7,23,0,18.7,-178,0,16.3,0.0,0.0,0,0.0,0,999.6,94.5,3.62,90.0,,
170,2023,1,8,0,0,19,-163,0.9,16.3,0.0,0.0,0,0.0,0,998.9,94.6,5.44,90.0,,
171,2023,1,8,1,0,19.4,-149,44.8,16.5,0.0,0.0,0,0.0,0,998.2,84.5,8.4,90.0,,
172,2023,1,8,2,0,19.9,-137,55.3,16.7,0.0,0.0,0,0.0,0,997.5,91.6,9.24,90.0,,
173,2023,1,8,3,0,20.3,-126,53.8,17,0.0,0.0,0,0.0,0,997.3,96.2,8.65,90.0,,
174,2023,1,8,4,0,20.6,-116,80.4,17.2,0.0,0.0,0,0.0,0,997.5,88.4,7.28,90.0,,
175,2023,1,8,5,0,20.9,-107,94.4,17.5,19.16,116.86,0,26.1516219152145,0,997.7,78.5,6.53,86.57,,
176,2023,1,8,6,0,20.6,-97,96.8,17.7,83.94,465.88,0,208.2842987845766,0,997.7,70.2,6.79,74.52,,
177,2023,1,8,7,0,19.9,-88,97.7,17.7,94.35,735.67,0,443.12247274969195,0,997.7,32.4,5.45,61.7,,
178,2023,1,8,8,0,19,-76,95,17.8,167.13,764.95,0,672.8001874647225,0,997.7,293.3,3.86,48.62,,
179,2023,1,8,9,0,18.6,-60,96.4,17.8,169.37,855.22,0,866.2241003573595,0,997.5,244,2.74,35.43,,
180,2023,1,8,10,0,18.5,-34,97.3,17.8,126.5,922.61,0,979.9854817975394,0,997.2,295.2,3.43,22.32,,
181,2023,1,8,11,0,18.5,4,97.4,17.8,282.13,663.15,0,934.8811425871016,0,996.9,289.5,4.62,10.16,,
182,2023,1,8,12,0,18.3,40,95.2,17.6,152.81,760.56,0,904.5585711606266,0,996.7,288.8,5.39,8.73,,
183,2023,1,8,13,0,17.9,64,91.8,17.3,347.75,495.05,0,811.6911856207985,0,996.8,280.7,5.64,20.42,,
184,2023,1,8,14,0,17.6,79,88.8,17,233.72,659.01,0,783.2590956004846,0,996.8,294.3,5.68,33.5,,
185,2023,1,8,15,0,17.3,90,93.3,16.7,241.9,501.73,0,585.9956422142525,0,997.1,256.8,5.68,46.7,,
186,2023,1,8,16,0,17,99,83.8,16.3,127.52,622.27,0,440.53422218959645,0,997.6,248,5.62,59.8,,
187,2023,1,8,17,0,16.6,108,76.7,16,65.38,632.81,0,253.77268196318315,0,998.1,236.7,5.46,72.68,,
188,2023,1,8,18,0,16.2,117,80,15.3,23.95,180.32,0,39.321022588649235,0,998.4,228.7,5.65,85.11,,
189,2023,1,8,19,0,15.6,128,78,14.5,0.0,0.0,0,0.0,0,998.7,225.2,6.84,90.0,,
190,2023,1,8,20,0,14.9,139,89.8,13.7,0.0,0.0,0,0.0,0,998.9,221,7.69,90.0,,
191,2023,1,8,21,0,14.5,152,90.2,13.2,0.0,0.0,0,0.0,0,999,213.9,7.88,90.0,,
192,2023,1,8,22,0,14.3,166,63.6,13.1,0.0,0.0,0,0.0,0,999.1,217.7,7.29,90.0,,
193,2023,1,8,23,0,14.1,-179,18.4,13,0.0,0.0,0,0.0,0,999.1,214.7,6.8,90.0,,
194,2023,1,9,0,0,13.7,-163,0,12.6,0.0,0.0,0,0.0,0,999.2,207.7,7.55,90.0,,
195,2023,1,9,1,0,13.3,-149,0,12,0.0,0.0,0,0.0,0,999.4,201.2,8.57,90.0,,
196,2023,1,9,2,0,12.9,-137,0,11.4,0.0,0.0,0,0.0,0,999.7,202.6,8.84,90.0,,
197,2023,1,9,3,0,12.8,-126,0,10.9,0.0,0.0,1,0.0,0,1000.1,203.2,8.95,90.0,,
198,2023,1,9,4,0,12.9,-116,0.9,10.6,0.0,0.0,47,0.0,0,1000.7,196.8,8.87,90.0,,
199,2023,1,9,5,0,13.1,-106,0.5,10.2,22.06,73.25,187,26.30209139271086,0,1001.2,198.3,8.5,86.68,,
200,2023,1,9,6,0,13.7,-97,0,9.6,101.58,411.9,378,210.47732079454732,0,1001.5,200.9,8.07,74.67,,
201,2023,1,9,7,0,14.7,-88,0,8.9,117.41,656.17,569,427.07984084275256,0,1001.6,201.2,6.86,61.84,,
202,2023,1,9,8,0,15.7,-76,0,8.1,151.77,747.51,738,644.5394938782815,0,1001.6,198.3,4.6,48.76,,
203,2023,1,9,9,0,16.6,-60,0,7.8,285.76,598.34,866,772.5137552634501,0,1001.5,201.5,1.37,35.56,,
204,2023,1,9,10,0,17.3,-34,0,7.7,274.02,672.47,947,895.5256068773466,0,1001.5,206,1.33,22.45,,
205,2023,1,9,11,0,18,4,0,7.6,412.07,476.87,973,881.2403692715125,0,1001.4,189.5,3.07,10.31,,
206,2023,1,9,12,0,18.4,40,0,7.7,292.22,744.0,941,1027.5609637880139,0,1001.2,57.1,4.72,8.75,,
207,2023,1,9,13,0,18.6,63,0,7.8,198.96,719.56,852,873.4781394421701,0,1001.1,59.4,6.19,20.38,,
208,2023,1,9,14,0,18.7,78,0,7.9,200.95,594.41,713,696.9633609386465,0,1000.9,62.9,7.16,33.44,,
209,2023,1,9,15,0,18.4,90,2.4,8.2,222.69,547.25,506,598.3515100049044,0,1001,66,7.58,46.65,,
