electricity,irradiance_direct,irradiance_diffuse,temperature
0.378,0.323,0.157,33.266
0.129,0.107,0.062,31.633
0.0,0.002,0.001,29.686
0.0,0.0,0.0,28.815
0.0,0.0,0.0,28.132
0.0,0.0,0.0,27.477
0.0,0.0,0.0,26.805
0.0,0.0,0.0,26.139
0.0,0.0,0.0,25.384
0.0,0.0,0.0,24.598
0.0,0.0,0.0,23.974
0.0,0.0,0.0,23.585
0.0,0.0,0.0,23.341
0.108,0.116,0.023,23.441
0.332,0.28700000000000003,0.115,24.89
0.506,0.433,0.199,26.823
0.637,0.579,0.25,28.823
0.656,0.517,0.352,30.519
0.671,0.492,0.40800000000000003,31.833
0.672,0.467,0.44,32.712
0.628,0.371,0.466,33.029
0.545,0.26,0.45,32.828
0.453,0.2,0.378,32.405
0.296,0.105,0.266,31.643
0.166,0.063,0.15,30.734
0.045,0.022,0.046,29.614
0.0,0.001,0.001,28.292
0.0,0.0,0.0,27.623
0.0,0.0,0.0,27.14
0.0,0.0,0.0,26.736
0.0,0.0,0.0,26.365
0.0,0.0,0.0,25.814
0.0,0.0,0.0,25.186
0.0,0.0,0.0,24.588
0.0,0.0,0.0,24.161
0.0,0.0,0.0,23.871
0.0,0.0,0.0,23.67
0.014,0.014,0.015,23.678
0.096,0.038,0.088,24.39
0.227,0.078,0.199,25.662
0.384,0.15,0.323,27.281
0.52,0.264,0.395,29.103
0.615,0.38,0.426,30.802
0.652,0.445,0.426,32.181
0.634,0.419,0.427,33.088
0.641,0.504,0.359,33.716
0.5740000000000001,0.44,0.318,33.747
0.392,0.232,0.266,33.12
0.251,0.153,0.162,32.135
0.062,0.038,0.051000000000000004,30.694
0.0,0.001,0.001,29.044
0.0,0.0,0.0,28.244
0.0,0.0,0.0,27.542
0.0,0.0,0.0,26.841
0.0,0.0,0.0,26.119
0.0,0.0,0.0,25.517
0.0,0.0,0.0,25.09
0.0,0.0,0.0,25.031
0.0,0.0,0.0,24.728
0.0,0.0,0.0,24.132
0.0,0.0,0.0,23.766
0.18,0.198,0.023,24.14
0.49,0.497,0.11,26.162
0.62,0.624,0.179,28.328
0.687,0.685,0.231,30.199
0.746,0.791,0.23600000000000002,32.137
0.768,0.839,0.23900000000000002,33.886
0.749,0.785,0.268,35.123
0.725,0.731,0.28500000000000003,35.899
0.683,0.655,0.29,36.19
0.632,0.597,0.264,36.135
0.353,0.192,0.259,35.232
0.211,0.116,0.154,34.143
0.055,0.034,0.048,32.605
0.0,0.001,0.001,30.92
0.0,0.0,0.0,30.021
0.0,0.0,0.0,29.26
0.0,0.0,0.0,28.616
0.0,0.0,0.0,27.887
0.0,0.0,0.0,27.088
0.0,0.0,0.0,26.284
0.0,0.0,0.0,25.512
0.0,0.0,0.0,24.877
0.0,0.0,0.0,24.311
0.0,0.0,0.0,23.839
0.23900000000000002,0.267,0.022,23.868
0.558,0.598,0.10200000000000001,25.695
0.682,0.736,0.158,27.847
0.74,0.807,0.196,29.991
0.77,0.862,0.20500000000000002,32.009
0.778,0.881,0.213,33.739
0.775,0.884,0.216,35.086
0.753,0.837,0.229,35.954
0.721,0.778,0.233,36.29
0.684,0.735,0.213,36.275
0.5720000000000001,0.5640000000000001,0.2,35.699
0.274,0.193,0.155,34.387
0.22,0.217,0.062,32.936
0.0,0.003,0.001,30.846
0.0,0.0,0.0,29.805
0.0,0.0,0.0,28.81
0.0,0.0,0.0,27.936
0.0,0.0,0.0,27.116
0.0,0.0,0.0,26.357
0.0,0.0,0.0,25.662
0.0,0.0,0.0,25.094
0.0,0.0,0.0,24.611
0.0,0.0,0.0,24.087
0.0,0.0,0.0,23.542
0.269,0.303,0.021,23.668
0.599,0.666,0.096,26.182
0.71,0.804,0.14400000000000002,29.497
0.758,0.869,0.176,31.734
0.778,0.905,0.189,33.607
0.78,0.91,0.199,35.212
0.771,0.896,0.20700000000000002,36.468
0.757,0.872,0.211,37.312
0.733,0.834,0.20800000000000002,37.69
0.6960000000000001,0.78,0.196,37.546
0.634,0.6990000000000001,0.169,36.928
0.515,0.553,0.126,35.774
0.266,0.277,0.06,33.706
0.0,0.005,0.001,30.363
0.0,0.0,0.0,29.107
0.0,0.0,0.0,28.194
0.0,0.0,0.0,27.544
0.0,0.0,0.0,27.009
0.0,0.0,0.0,26.079
0.0,0.0,0.0,25.294
0.0,0.0,0.0,24.729
0.0,0.0,0.0,24.251
0.0,0.0,0.0,23.877
0.0,0.0,0.0,23.587
0.227,0.255,0.021,24.207
0.5640000000000001,0.617,0.097,26.882
0.684,0.77,0.147,31.118
0.737,0.842,0.179,33.693
0.756,0.8280000000000001,0.23700000000000002,35.232
0.765,0.837,0.255,36.52
0.759,0.8180000000000001,0.27,37.476
0.733,0.754,0.291,38.148
0.677,0.636,0.313,38.457
