lon,lat,Location,State,Start year,End year
146.875,-41.5,Point 333,TAS,2024,2024
147.5,-41.5,Point 334,TAS,2024,2024
148.125,-41.5,Point 335,TAS,2024,2024
145,-41,Point 336,TAS,2024,2024
145.625,-41,Point 337,TAS,2024,2024
147.5,-41,Point 338,TAS,2024,2024
148.125,-41,Point 339,TAS,2024,2024
117.5,-35,Point 340,WA,2024,2024
116.25,-34.5,Point 341,WA,2024,2024
117.5,-34.5,Point 342,WA,2024,2024
115,-34,Point 343,WA,2024,2024
115.625,-34,Point 344,WA,2024,2024
116.25,-34,Point 345,WA,2024,2024
116.875,-34,Point 346,WA,2024,2024
117.5,-34,Point 347,WA,2024,2024
115.625,-33.5,Point 348,WA,2024,2024
116.25,-33.5,Point 349,WA,2024,2024
116.875,-33.5,Point 350,WA,2024,2024
117.5,-33.5,Point 351,WA,2024,2024
116.25,-33,Point 352,WA,2024,2024
116.875,-33,Point 353,WA,2024,2024
117.5,-33,Point 354,WA,2024,2024
116.25,-32.5,Point 355,WA,2024,2024
117.5,-32.5,Point 356,WA,2024,2024
118.125,-32.5,Point 357,WA,2024,2024
118.75,-32.5,Point 358,WA,2024,2024
116.25,-32,Point 359,WA,2024,2024
116.875,-32,Point 360,WA,2024,2024
118.125,-32,Point 361,WA,2024,2024
118.75,-32,Point 362,WA,2024,2024
119.375,-32,Point 363,WA,2024,2024
120,-32,Point 364,WA,2024,2024
115.625,-31.5,Point 365,WA,2024,2024
116.25,-31.5,Point 366,WA,2024,2024
116.875,-31.5,Point 367,WA,2024,2024
117.5,-31.5,Point 368,WA,2024,2024
118.125,-31.5,Point 369,WA,2024,2024
118.75,-31.5,Point 370,WA,2024,2024
119.375,-31.5,Point 371,WA,2024,2024
120,-31.5,Point 372,WA,2024,2024
121.875,-31.5,Point 373,WA,2024,2024
115.625,-31,Point 374,WA,2024,2024
116.25,-31,Point 375,WA,2024,2024
116.875,-31,Point 376,WA,2024,2024
119.375,-31,Point 377,WA,2024,2024
120,-31,Point 378,WA,2024,2024
120.625,-31,Point 379,WA,2024,2024
121.25,-31,Point 380,WA,2024,2024
121.875,-31,Point 381,WA,2024,2024
115.625,-30.5,Point 382,WA,2024,2024
116.25,-30.5,Point 383,WA,2024,2024
121.25,-30.5,Point 384,WA,2024,2024
115.625,-30,Point 385,WA,2024,2024
116.25,-30,Point 386,WA,2024,2024
115.625,-29.5,Point 387,WA,2024,2024
116.25,-29.5,Point 388,WA,2024,2024
115,-29,Point 389,WA,2024,2024
115.625,-29,Point 390,WA,2024,2024
116.25,-29,Point 391,WA,2024,2024
116.875,-29,Point 392,WA,2024,2024
116.875,-28.5,Point 393,WA,2024,2024
